number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
182,0.5631275720164609,2022-09-18 12:37:44.033730,2022-09-18 12:38:27.061345,0 days 00:00:43.027615,8967.404885730108,svd,COMPLETE
183,0.5659917695473251,2022-09-18 12:38:27.134801,2022-09-18 12:39:17.084359,0 days 00:00:49.949558,12847.390622460454,svd,COMPLETE
184,0.5661893004115226,2022-09-18 12:38:27.543060,2022-09-18 12:39:16.608580,0 days 00:00:49.065520,13017.18699850767,svd,COMPLETE
185,0.5632921810699589,2022-09-18 12:39:16.686034,2022-09-18 12:39:59.704175,0 days 00:00:43.018141,6997.6522813261745,svd,COMPLETE
186,0.5631111111111111,2022-09-18 12:39:17.137506,2022-09-18 12:40:00.087458,0 days 00:00:42.949952,6700.0991927706655,svd,COMPLETE
187,0.5883786008230452,2022-09-18 12:39:59.788777,2022-09-18 12:40:54.380097,0 days 00:00:54.591320,27231.048045351385,svd,COMPLETE
188,0.5629135802469136,2022-09-18 12:40:00.010447,2022-09-18 12:40:52.955430,0 days 00:00:52.944983,8386.162705000965,svd,COMPLETE
189,0.5648065843621399,2022-09-18 12:40:00.141161,2022-09-18 12:40:54.252820,0 days 00:00:54.111659,5097.905571967032,svd,COMPLETE
190,0.565283950617284,2022-09-18 12:40:53.112057,2022-09-18 12:41:43.946405,0 days 00:00:50.834348,4826.849852187516,svd,COMPLETE
191,0.5871111111111111,2022-09-18 12:40:54.313602,2022-09-18 12:41:44.230060,0 days 00:00:49.916458,26397.02932783014,svd,COMPLETE
192,0.5655308641975308,2022-09-18 12:40:54.462288,2022-09-18 12:41:44.400744,0 days 00:00:49.938456,4760.438152457808,svd,COMPLETE
193,0.5671440329218107,2022-09-18 12:41:44.148697,2022-09-18 12:42:38.046163,0 days 00:00:53.897466,4061.8759307552473,svd,COMPLETE
194,0.563275720164609,2022-09-18 12:41:44.321999,2022-09-18 12:42:38.244987,0 days 00:00:53.922988,7145.44115271814,svd,COMPLETE
195,0.5631934156378601,2022-09-18 12:41:44.486936,2022-09-18 12:42:37.077631,0 days 00:00:52.590695,7218.472912867782,svd,COMPLETE
196,0.5631769547325103,2022-09-18 12:42:37.154544,2022-09-18 12:43:30.267166,0 days 00:00:53.112622,8124.086294800668,svd,COMPLETE
197,0.5633086419753086,2022-09-18 12:42:38.100401,2022-09-18 12:43:30.373383,0 days 00:00:52.272982,6991.205321554954,svd,COMPLETE
198,0.6045432098765432,2022-09-18 12:42:38.330354,2022-09-18 12:43:29.214657,0 days 00:00:50.884303,3.7840114146208736,svd,COMPLETE
199,0.5629958847736625,2022-09-18 12:43:29.368721,2022-09-18 12:44:02.175258,0 days 00:00:32.806537,9133.012987331711,svd,COMPLETE
