number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
42,0.5629794238683127,2022-09-18 03:22:35.748105,2022-09-18 03:24:10.060908,0 days 00:01:34.312803,8324.05043213633,sparse_cg,COMPLETE
43,0.563604938271605,2022-09-18 03:24:10.134588,2022-09-18 03:28:09.135489,0 days 00:03:59.000901,7805.326794811968,lsqr,COMPLETE
44,0.6785679012345679,2022-09-18 03:28:09.210792,2022-09-18 03:31:53.743321,0 days 00:03:44.532529,139909.86186726944,lsqr,COMPLETE
45,0.6733497942386831,2022-09-18 03:30:06.114645,2022-09-18 03:34:33.713121,0 days 00:04:27.598476,125426.77250334532,lsqr,COMPLETE
46,0.599917695473251,2022-09-18 03:31:53.868669,2022-09-18 03:38:44.377327,0 days 00:06:50.508658,303.5733560497994,lsqr,COMPLETE
47,0.5977777777777777,2022-09-18 03:33:43.944497,2022-09-18 03:40:40.838911,0 days 00:06:56.894414,415.62281012028495,lsqr,COMPLETE
48,0.5955555555555556,2022-09-18 03:34:33.876437,2022-09-18 03:40:55.566262,0 days 00:06:21.689825,594.3238748416079,lsqr,COMPLETE
49,0.5639506172839506,2022-09-18 03:38:44.500460,2022-09-18 03:45:02.988619,0 days 00:06:18.488159,6252.356126678693,lsqr,COMPLETE
50,0.6026995884773663,2022-09-18 03:40:40.965000,2022-09-18 03:41:39.746590,0 days 00:00:58.781590,89.58483250151136,auto,COMPLETE
51,0.5656625514403293,2022-09-18 03:40:55.697890,2022-09-18 03:41:59.113172,0 days 00:01:03.415282,4734.915127268877,auto,COMPLETE
52,0.5649876543209876,2022-09-18 03:41:39.905012,2022-09-18 03:42:42.536881,0 days 00:01:02.631869,4956.691110330766,cholesky,COMPLETE
53,0.5831275720164609,2022-09-18 03:41:59.216502,2022-09-18 03:43:04.415324,0 days 00:01:05.198822,1558.61782648371,cholesky,COMPLETE
54,0.5863374485596708,2022-09-18 03:42:42.836759,2022-09-18 03:51:47.545812,0 days 00:09:04.709053,1318.8979058208918,sparse_cg,COMPLETE
55,0.604164609053498,2022-09-18 03:43:04.532967,2022-09-18 03:52:12.177882,0 days 00:09:07.644915,18.111514749713066,sparse_cg,COMPLETE
56,0.6376460905349794,2022-09-18 03:45:03.094926,2022-09-18 03:52:39.064856,0 days 00:07:35.969930,83317.80386934357,sparse_cg,COMPLETE
57,0.6042962962962963,2022-09-18 03:51:47.696464,2022-09-18 03:52:50.030275,0 days 00:01:02.333811,16.448178342165548,svd,COMPLETE
58,0.6244115226337448,2022-09-18 03:52:12.343756,2022-09-18 03:58:26.623493,0 days 00:06:14.279737,60939.27400565439,lsqr,COMPLETE
59,0.5633909465020577,2022-09-18 03:52:39.205395,2022-09-18 03:57:31.758711,0 days 00:04:52.553316,9109.349927640738,lsqr,COMPLETE
60,0.5635720164609053,2022-09-18 03:52:50.116214,2022-09-18 03:59:33.905189,0 days 00:06:43.788975,8656.304993475585,lsqr,COMPLETE
61,0.5904691358024692,2022-09-18 03:57:31.996471,2022-09-18 04:04:00.159335,0 days 00:06:28.162864,28431.757459983095,lsqr,COMPLETE
