number,value,datetime_start,datetime_complete,duration,params_svc_C,state
38,0.3208230452674897,2022-09-18 18:57:56.401855,2022-09-18 19:47:46.342173,0 days 00:49:49.940318,8.059841862941594,COMPLETE
39,0.32284773662551436,2022-09-18 19:04:40.704901,2022-09-18 19:56:08.550983,0 days 00:51:27.846082,169.1041879266201,COMPLETE
40,0.33084773662551437,2022-09-18 19:12:49.816322,2022-09-18 20:02:03.122153,0 days 00:49:13.305831,1.0231257948197534,COMPLETE
41,0.32365432098765434,2022-09-18 19:24:05.670841,2022-09-18 20:15:31.606658,0 days 00:51:25.935817,312.5717084546471,COMPLETE
42,0.3237695473251029,2022-09-18 19:28:12.274027,2022-09-18 20:18:56.208340,0 days 00:50:43.934313,344.99311348184557,COMPLETE
43,0.32401646090534975,2022-09-18 19:28:15.300374,2022-09-18 20:19:14.260593,0 days 00:50:58.960219,426.3850709339715,COMPLETE
44,0.32367078189300413,2022-09-18 19:28:46.733042,2022-09-18 20:19:33.786563,0 days 00:50:47.053521,323.462023006923,COMPLETE
45,0.3229465020576132,2022-09-18 19:33:34.646931,2022-09-18 20:24:37.561224,0 days 00:51:02.914293,196.49083294978007,COMPLETE
46,0.32345679012345674,2022-09-18 19:47:46.523083,2022-09-18 20:39:12.153369,0 days 00:51:25.630286,261.95581294432753,COMPLETE
47,0.32327572016460904,2022-09-18 19:56:08.716545,2022-09-18 20:48:11.572045,0 days 00:52:02.855500,247.6853621197085,COMPLETE
48,0.32362139917695476,2022-09-18 20:02:03.329213,2022-09-18 20:53:21.298202,0 days 00:51:17.968989,288.54516381393694,COMPLETE
49,0.3215802469135802,2022-09-18 20:15:31.918261,2022-09-18 21:06:06.020463,0 days 00:50:34.102202,43.30897141588833,COMPLETE
50,0.32154732510288064,2022-09-18 20:18:56.412560,2022-09-18 21:08:46.883448,0 days 00:49:50.470888,37.00338083805503,COMPLETE
51,0.32149794238683127,2022-09-18 20:19:14.442765,2022-09-18 21:09:16.396331,0 days 00:50:01.953566,38.8402429514961,COMPLETE
52,0.32159670781893,2022-09-18 20:19:33.926460,2022-09-18 21:09:28.240246,0 days 00:49:54.313786,42.83322405708993,COMPLETE
53,0.3213991769547325,2022-09-18 20:24:37.694172,2022-09-18 21:15:18.648270,0 days 00:50:40.954098,35.8138438689598,COMPLETE
54,0.32134979423868315,2022-09-18 20:39:12.333224,2022-09-18 21:30:00.490173,0 days 00:50:48.156949,22.82602412385129,COMPLETE
55,0.32136625514403294,2022-09-18 20:48:11.776066,2022-09-18 21:39:15.418751,0 days 00:51:03.642685,34.790979693549055,COMPLETE
56,0.32159670781893,2022-09-18 20:53:21.455772,2022-09-18 21:44:34.894821,0 days 00:51:13.439049,41.50635700336911,COMPLETE
57,0.321283950617284,2022-09-18 21:06:06.181091,2022-09-18 21:56:57.937493,0 days 00:50:51.756402,34.05012358032592,COMPLETE
58,0.32536625514403295,2022-09-18 21:08:47.056337,2022-09-18 21:58:17.612614,0 days 00:49:30.556277,1.9504363693324582,COMPLETE
59,0.3250534979423868,2022-09-18 21:09:16.601190,2022-09-18 21:58:35.394080,0 days 00:49:18.792890,2.0876715992362165,COMPLETE
60,0.32302880658436217,2022-09-18 21:09:28.395112,2022-09-18 21:59:04.110391,0 days 00:49:35.715279,3.060570906941951,COMPLETE
61,0.3269794238683128,2022-09-18 21:15:18.797233,2022-09-18 22:05:07.793004,0 days 00:49:48.995771,1.6395390423755258,COMPLETE
62,0.3277530864197531,2022-09-18 21:30:00.717575,2022-09-18 22:18:46.029738,0 days 00:48:45.312163,1.4862223837658288,COMPLETE
63,0.3253004115226338,2022-09-18 21:39:15.571336,2022-09-18 22:29:06.236184,0 days 00:49:50.664848,1.972124170116192,COMPLETE
64,0.3242962962962963,2022-09-18 21:44:35.053644,2022-09-18 22:33:36.692394,0 days 00:49:01.638750,2.41927629894302,COMPLETE
65,0.32233744855967084,2022-09-18 21:56:58.226041,2022-09-18 22:45:29.735852,0 days 00:48:31.509811,3.660452557192894,COMPLETE
66,0.32419753086419756,2022-09-18 21:58:17.765522,2022-09-18 22:46:30.312934,0 days 00:48:12.547412,2.4660173320890095,COMPLETE
67,0.32594238683127574,2022-09-18 21:58:35.549630,2022-09-18 23:11:10.719747,0 days 01:12:35.170117,18387498.112366896,COMPLETE
68,0.32075720164609056,2022-09-18 21:59:04.300925,2022-09-18 22:48:05.301588,0 days 00:49:01.000663,12.17925214911819,COMPLETE
69,0.3206748971193416,2022-09-18 22:05:07.976312,2022-09-18 22:54:22.755686,0 days 00:49:14.779374,11.647169044760918,COMPLETE
70,0.32080658436213993,2022-09-18 22:18:46.234143,2022-09-18 23:08:17.159435,0 days 00:49:30.925292,8.884753010865508,COMPLETE
71,0.3205267489711934,2022-09-18 22:29:06.546233,2022-09-18 23:19:04.306065,0 days 00:49:57.759832,13.058562262664692,COMPLETE
72,0.32059259259259254,2022-09-18 22:33:36.850832,2022-09-18 23:23:05.932552,0 days 00:49:29.081720,12.6682386293985,COMPLETE
73,0.320724279835391,2022-09-18 22:45:29.901161,2022-09-18 23:35:03.479159,0 days 00:49:33.577998,14.494694257707922,COMPLETE
74,0.32060905349794244,2022-09-18 22:46:30.622827,2022-09-18 23:35:55.149708,0 days 00:49:24.526881,13.25423415880431,COMPLETE
75,0.3223539094650206,2022-09-18 22:48:05.496622,2022-09-18 23:38:47.823384,0 days 00:50:42.326762,95.07328113461273,COMPLETE
76,0.32210699588477365,2022-09-18 22:54:22.925763,2022-09-18 23:44:31.945674,0 days 00:50:09.019911,83.04138422191815,COMPLETE
77,0.3259917695473251,2022-09-18 23:08:17.431651,2022-09-19 00:18:56.592252,0 days 01:10:39.160601,51359991.92437486,COMPLETE
78,0.3224197530864198,2022-09-18 23:11:10.846625,2022-09-18 23:59:38.646299,0 days 00:48:27.799674,106.22005210314316,COMPLETE
79,0.32207407407407407,2022-09-18 23:19:04.495367,2022-09-19 00:08:08.266893,0 days 00:49:03.771526,82.07671767173225,COMPLETE
80,0.32059259259259254,2022-09-18 23:23:06.072921,2022-09-19 00:10:36.501680,0 days 00:47:30.428759,15.260497207473238,COMPLETE
81,0.3225843621399177,2022-09-18 23:35:03.626074,2022-09-19 00:23:02.901377,0 days 00:47:59.275303,119.51679848500764,COMPLETE
82,0.32248559670781896,2022-09-18 23:35:55.273489,2022-09-19 00:24:14.059216,0 days 00:48:18.785727,108.55288856308894,COMPLETE
83,0.32594238683127574,2022-09-18 23:38:48.091679,2022-09-19 00:43:52.540569,0 days 01:05:04.448890,220607.2933934058,COMPLETE
84,0.32569547325102877,2022-09-18 23:44:32.204833,2022-09-19 00:45:11.884803,0 days 01:00:39.679970,47845.49407792087,COMPLETE
85,0.32057613168724275,2022-09-18 23:59:38.916039,2022-09-19 00:45:37.048159,0 days 00:45:58.132120,16.18843333784675,COMPLETE
86,0.3215802469135802,2022-09-19 00:08:08.550286,2022-09-19 00:54:34.892727,0 days 00:46:26.342441,4.5448673759512666,COMPLETE
87,0.3258765432098766,2022-09-19 00:10:36.635237,2022-09-19 01:16:13.947771,0 days 01:05:37.312534,176304.56552732867,COMPLETE
88,0.32577777777777783,2022-09-19 00:18:56.812253,2022-09-19 01:21:01.772685,0 days 01:02:04.960432,60465.16812372743,COMPLETE
89,0.32059259259259254,2022-09-19 00:23:03.030676,2022-09-19 01:09:01.469923,0 days 00:45:58.439247,15.06088636690038,COMPLETE
90,0.32574485596707814,2022-09-19 00:24:14.213658,2022-09-19 01:26:49.840991,0 days 01:02:35.627333,59555.899187590425,COMPLETE
91,0.3205267489711934,2022-09-19 00:43:52.798572,2022-09-19 01:32:44.008296,0 days 00:48:51.209724,15.492447096325863,COMPLETE
92,0.3208395061728395,2022-09-19 00:45:12.028942,2022-09-19 01:34:04.365435,0 days 00:48:52.336493,17.372549411742636,COMPLETE
93,0.32156378600823043,2022-09-19 00:45:37.247113,2022-09-19 01:34:03.760392,0 days 00:48:26.513279,4.534705000270963,COMPLETE
94,0.3208230452674897,2022-09-19 00:54:35.041893,2022-09-19 01:44:42.593080,0 days 00:50:07.551187,17.25441609308784,COMPLETE
95,0.3210205761316872,2022-09-19 01:09:01.671879,2022-09-19 01:58:47.115117,0 days 00:49:45.443238,18.75868743520003,COMPLETE
96,0.3208888888888889,2022-09-19 01:16:14.130682,2022-09-19 02:05:47.654431,0 days 00:49:33.523749,17.692027202401167,COMPLETE
97,0.3212674897119342,2022-09-19 01:21:01.955719,2022-09-19 02:10:39.535892,0 days 00:49:37.580173,21.784705904695265,COMPLETE
98,0.32093827160493826,2022-09-19 01:26:49.991596,2022-09-19 02:15:15.035272,0 days 00:48:25.043676,17.7909293315248,COMPLETE
99,0.32156378600823043,2022-09-19 01:32:44.138830,2022-09-19 02:20:56.495652,0 days 00:48:12.356822,4.7492408584868455,COMPLETE
100,0.32138271604938273,2022-09-19 01:34:03.915807,2022-09-19 02:22:36.589893,0 days 00:48:32.674086,23.069620756673782,COMPLETE
101,0.32595884773662553,2022-09-19 01:34:04.477670,2022-09-19 02:44:26.178893,0 days 01:10:21.701223,4804151220.115407,COMPLETE
102,0.32098765432098764,2022-09-19 01:44:42.777745,2022-09-19 02:33:09.791651,0 days 00:48:27.013906,18.237584269792357,COMPLETE
103,0.3212510288065844,2022-09-19 01:58:47.297168,2022-09-19 02:46:00.143655,0 days 00:47:12.846487,5.395559657453275,COMPLETE
104,0.3259917695473251,2022-09-19 02:05:47.837474,2022-09-19 03:15:38.909082,0 days 01:09:51.071608,1875349464.7222152,COMPLETE
105,0.32595884773662553,2022-09-19 02:10:39.851859,2022-09-19 03:21:11.136308,0 days 01:10:31.284449,1096860853.4349604,COMPLETE
106,0.321037037037037,2022-09-19 02:15:15.192557,2022-09-19 03:01:41.939336,0 days 00:46:26.746779,6.1772827481150925,COMPLETE
107,0.32441152263374484,2022-09-19 02:20:56.651133,2022-09-19 03:10:00.817228,0 days 00:49:04.166095,913.6247612749561,COMPLETE
108,0.3219917695473251,2022-09-19 02:22:36.722159,2022-09-19 03:09:12.104847,0 days 00:46:35.382688,60.00713404084062,COMPLETE
109,0.32418106995884777,2022-09-19 02:33:09.925799,2022-09-19 03:24:42.204988,0 days 00:51:32.279189,609.9876036871938,COMPLETE
110,0.32194238683127574,2022-09-19 02:44:26.406989,2022-09-19 03:34:50.035284,0 days 00:50:23.628295,59.9270919825348,COMPLETE
111,0.3240987654320988,2022-09-19 02:46:00.296346,2022-09-19 03:38:22.983551,0 days 00:52:22.687205,586.6649408627544,COMPLETE
112,0.33084773662551437,2022-09-19 03:01:42.150311,2022-09-19 03:51:45.267220,0 days 00:50:03.116909,1.0124503511570935,COMPLETE
113,0.3206748971193416,2022-09-19 03:09:12.289475,2022-09-19 03:59:35.209877,0 days 00:50:22.920402,9.6934483197069,COMPLETE
114,0.33028806584362136,2022-09-19 03:10:00.987144,2022-09-19 03:59:17.341925,0 days 00:49:16.354781,1.0641158627067495,COMPLETE
115,0.3206584362139918,2022-09-19 03:15:39.065942,2022-09-19 04:06:45.793016,0 days 00:51:06.727074,9.626622788795409,COMPLETE
116,0.3206748971193416,2022-09-19 03:21:11.303584,2022-09-19 04:12:32.457755,0 days 00:51:21.154171,9.708160075595956,COMPLETE
117,0.3204938271604938,2022-09-19 03:24:42.490892,2022-09-19 04:16:24.801084,0 days 00:51:42.310192,10.355990298958853,COMPLETE
118,0.320477366255144,2022-09-19 03:34:50.178133,2022-09-19 04:26:11.412581,0 days 00:51:21.234448,10.884112175823526,COMPLETE
119,0.3206584362139918,2022-09-19 03:38:23.119232,2022-09-19 04:30:04.706131,0 days 00:51:41.586899,11.756424675870983,COMPLETE
120,0.3207078189300412,2022-09-19 03:51:45.413077,2022-09-19 04:42:59.201232,0 days 00:51:13.788155,12.255164851803743,COMPLETE
121,0.3206584362139918,2022-09-19 03:59:17.499363,2022-09-19 04:49:40.518363,0 days 00:50:23.019000,11.745398593710988,COMPLETE
122,0.3208230452674897,2022-09-19 03:59:35.343506,2022-09-19 04:50:01.854961,0 days 00:50:26.511455,8.940702751345246,COMPLETE
123,0.3204609053497942,2022-09-19 04:06:46.006558,2022-09-19 04:57:59.353573,0 days 00:51:13.347015,10.66564677540603,COMPLETE
124,0.32059259259259254,2022-09-19 04:12:32.672615,2022-09-19 05:03:39.260562,0 days 00:51:06.587947,11.38373287742478,COMPLETE
125,0.32133333333333336,2022-09-19 04:16:24.969682,2022-09-19 05:08:55.740063,0 days 00:52:30.770381,29.042224946416884,COMPLETE
126,0.3233086419753086,2022-09-19 04:26:11.573158,2022-09-19 05:17:14.447274,0 days 00:51:02.874116,2.8995834318127636,COMPLETE
127,0.3229958847736626,2022-09-19 04:30:04.855514,2022-09-19 05:20:50.567367,0 days 00:50:45.711853,3.159865815057811,COMPLETE
128,0.32131687242798357,2022-09-19 04:42:59.405181,2022-09-19 05:34:29.594482,0 days 00:51:30.189301,29.03845244157435,COMPLETE
129,0.32248559670781896,2022-09-19 04:49:40.728230,2022-09-19 05:39:50.668848,0 days 00:50:09.940618,3.473189749757748,COMPLETE
130,0.3229794238683128,2022-09-19 04:50:02.001770,2022-09-19 05:39:51.329153,0 days 00:49:49.327383,3.0281551306875247,COMPLETE
131,0.32136625514403294,2022-09-19 04:57:59.584053,2022-09-19 05:49:15.849748,0 days 00:51:16.265695,31.364953156915917,COMPLETE
132,0.32131687242798357,2022-09-19 05:03:39.512949,2022-09-19 05:55:11.750596,0 days 00:51:32.237647,27.412557436933557,COMPLETE
133,0.32212345679012344,2022-09-19 05:08:55.989517,2022-09-19 06:00:16.774108,0 days 00:51:20.784591,3.809313364548655,COMPLETE
134,0.32248559670781896,2022-09-19 05:17:14.582821,2022-09-19 06:07:45.889012,0 days 00:50:31.306191,3.5955118032662887,COMPLETE
135,0.3228148148148148,2022-09-19 05:20:50.714510,2022-09-19 06:12:55.305855,0 days 00:52:04.591345,159.11963094085382,COMPLETE
136,0.32194238683127574,2022-09-19 05:34:29.838442,2022-09-19 06:25:55.112340,0 days 00:51:25.273898,63.644495780165705,COMPLETE
137,0.32134979423868315,2022-09-19 05:39:50.857694,2022-09-19 06:30:25.676341,0 days 00:50:34.818647,5.6268560421551665,COMPLETE
138,0.3210864197530864,2022-09-19 05:39:51.456832,2022-09-19 06:30:17.805426,0 days 00:50:26.348594,6.017611842562998,COMPLETE
139,0.3219917695473251,2022-09-19 05:49:16.037266,2022-09-19 06:40:47.838469,0 days 00:51:31.801203,59.95401522677182,COMPLETE
140,0.32194238683127574,2022-09-19 05:55:12.003416,2022-09-19 06:46:11.090374,0 days 00:50:59.086958,59.933955413493955,COMPLETE
141,0.3218271604938272,2022-09-19 06:00:17.011848,2022-09-19 06:51:33.277860,0 days 00:51:16.266012,49.19223312580163,COMPLETE
142,0.3218271604938272,2022-09-19 06:07:46.033512,2022-09-19 06:58:59.278195,0 days 00:51:13.244683,56.11448161190346,COMPLETE
143,0.3218106995884774,2022-09-19 06:12:55.440355,2022-09-19 07:03:27.426737,0 days 00:50:31.986382,55.03657438828756,COMPLETE
144,0.3210534979423868,2022-09-19 06:25:55.248621,2022-09-19 07:16:10.685825,0 days 00:50:15.437204,6.496186951766612,COMPLETE
145,0.3217942386831276,2022-09-19 06:30:18.032032,2022-09-19 07:20:11.723707,0 days 00:49:53.691675,48.24275823702091,COMPLETE
146,0.32167901234567897,2022-09-19 06:30:25.925210,2022-09-19 07:20:13.012137,0 days 00:49:47.086927,44.935894002239884,COMPLETE
147,0.32167901234567897,2022-09-19 06:40:48.044617,2022-09-19 07:30:58.606894,0 days 00:50:10.562277,44.276331728731655,COMPLETE
148,0.32093827160493826,2022-09-19 06:46:11.238538,2022-09-19 07:36:40.837295,0 days 00:50:29.598757,6.737948557064576,COMPLETE
149,0.32060905349794244,2022-09-19 06:51:33.426087,2022-09-19 07:42:19.084140,0 days 00:50:45.658053,14.045428875417173,COMPLETE
150,0.3206913580246914,2022-09-19 06:58:59.448388,2022-09-19 07:49:47.231278,0 days 00:50:47.782890,14.402555062111956,COMPLETE
151,0.3205102880658436,2022-09-19 07:03:27.639355,2022-09-19 07:54:15.770652,0 days 00:50:48.131297,12.942553016563883,COMPLETE
152,0.32055967078189296,2022-09-19 07:16:10.854260,2022-09-19 08:06:31.652316,0 days 00:50:20.798056,16.213478814197472,COMPLETE
153,0.32075720164609056,2022-09-19 07:20:11.873162,2022-09-19 08:10:19.399904,0 days 00:50:07.526742,9.129611259410959,COMPLETE
154,0.3205102880658436,2022-09-19 07:20:13.201531,2022-09-19 08:10:23.431398,0 days 00:50:10.229867,12.996466938558767,COMPLETE
155,0.32055967078189296,2022-09-19 07:30:58.893995,2022-09-19 08:21:28.989381,0 days 00:50:30.095386,15.64275157725805,COMPLETE
156,0.3206913580246914,2022-09-19 07:36:41.085098,2022-09-19 08:26:52.368698,0 days 00:50:11.283600,11.657076088395646,COMPLETE
157,0.32055967078189296,2022-09-19 07:42:19.317528,2022-09-19 08:33:13.567227,0 days 00:50:54.249699,15.648419466053715,COMPLETE
158,0.3206584362139918,2022-09-19 07:49:47.381135,2022-09-19 08:39:36.732740,0 days 00:49:49.351605,9.57988389751382,COMPLETE
159,0.3212181069958848,2022-09-19 07:54:15.976991,2022-09-19 08:44:20.759133,0 days 00:50:04.782142,21.7716798419201,COMPLETE
160,0.32118518518518524,2022-09-19 08:06:31.821212,2022-09-19 08:56:12.011326,0 days 00:49:40.190114,20.432732671276245,COMPLETE
161,0.321283950617284,2022-09-19 08:10:19.581463,2022-09-19 08:59:12.597676,0 days 00:48:53.016213,29.523236797499084,COMPLETE
162,0.3211028806584362,2022-09-19 08:10:23.680280,2022-09-19 08:58:49.643725,0 days 00:48:25.963445,20.0613946353984,COMPLETE
163,0.32594238683127574,2022-09-19 08:21:29.141786,2022-09-19 09:31:32.704783,0 days 01:10:03.562997,4612202.081797047,COMPLETE
164,0.3214320987654321,2022-09-19 08:26:52.542443,2022-09-19 09:15:06.703310,0 days 00:48:14.160867,23.832322620999108,COMPLETE
165,0.3213991769547325,2022-09-19 08:33:13.708906,2022-09-19 09:21:52.465401,0 days 00:48:38.756495,23.993385836813026,COMPLETE
166,0.3214320987654321,2022-09-19 08:39:36.910225,2022-09-19 09:27:57.104718,0 days 00:48:20.194493,23.546828828133215,COMPLETE
167,0.32133333333333336,2022-09-19 08:44:20.948509,2022-09-19 09:32:11.621540,0 days 00:47:50.673031,28.404882813393257,COMPLETE
168,0.32133333333333336,2022-09-19 08:56:12.254029,2022-09-19 09:44:40.586256,0 days 00:48:28.332227,29.067456142848023,COMPLETE
169,0.32594238683127574,2022-09-19 08:58:49.828798,2022-09-19 10:09:46.381374,0 days 01:10:56.552576,2819010.662318391,COMPLETE
170,0.32095473251028805,2022-09-19 08:59:12.736663,2022-09-19 09:47:24.835790,0 days 00:48:12.099127,6.719770511362449,COMPLETE
171,0.32093827160493826,2022-09-19 09:15:06.860920,2022-09-19 10:03:39.964061,0 days 00:48:33.103141,6.768539361346263,COMPLETE
172,0.3210205761316872,2022-09-19 09:21:52.673591,2022-09-19 10:12:02.820384,0 days 00:50:10.146793,6.135049103942442,COMPLETE
173,0.32612345679012344,2022-09-19 09:27:57.309026,2022-09-19 10:17:36.599225,0 days 00:49:39.290199,1.7847681108852138,COMPLETE
174,0.32536625514403295,2022-09-19 09:31:32.909499,2022-09-19 10:20:44.175462,0 days 00:49:11.265963,1.94977062026063,COMPLETE
175,0.32651851851851854,2022-09-19 09:32:11.769816,2022-09-19 10:21:13.496158,0 days 00:49:01.726342,1.7228347204882695,COMPLETE
176,0.326156378600823,2022-09-19 09:44:40.731527,2022-09-19 10:34:54.463048,0 days 00:50:13.731521,1.7776671552739278,COMPLETE
177,0.32666666666666666,2022-09-19 09:47:24.989106,2022-09-19 10:37:38.212137,0 days 00:50:13.223031,1.6692497972102331,COMPLETE
178,0.3207078189300412,2022-09-19 10:03:40.148803,2022-09-19 10:54:31.239333,0 days 00:50:51.090530,12.282005594526511,COMPLETE
179,0.32059259259259254,2022-09-19 10:09:46.639629,2022-09-19 11:00:34.206086,0 days 00:50:47.566457,13.930289801803005,COMPLETE
180,0.32074074074074077,2022-09-19 10:12:03.002904,2022-09-19 11:03:34.766505,0 days 00:51:31.763601,14.443022723434273,COMPLETE
181,0.32057613168724275,2022-09-19 10:17:36.735920,2022-09-19 11:08:44.623387,0 days 00:51:07.887467,13.967656032579615,COMPLETE
182,0.320724279835391,2022-09-19 10:20:44.395607,2022-09-19 11:11:10.810224,0 days 00:50:26.414617,14.503817176658304,COMPLETE
183,0.320641975308642,2022-09-19 10:21:13.603246,2022-09-19 11:11:26.783043,0 days 00:50:13.179797,13.574645010905995,COMPLETE
184,0.320724279835391,2022-09-19 10:34:54.646197,2022-09-19 11:25:32.999756,0 days 00:50:38.353559,14.631947326216284,COMPLETE
185,0.32055967078189296,2022-09-19 10:37:38.351689,2022-09-19 11:28:24.754732,0 days 00:50:46.403043,12.71235221488007,COMPLETE
186,0.320641975308642,2022-09-19 10:54:31.387535,2022-09-19 11:45:05.723256,0 days 00:50:34.335721,16.488445770160837,COMPLETE
187,0.3205267489711934,2022-09-19 11:00:34.419244,2022-09-19 11:51:20.845457,0 days 00:50:46.426213,15.856975429552296,COMPLETE
188,0.3206748971193416,2022-09-19 11:03:34.975221,2022-09-19 11:55:01.250189,0 days 00:51:26.274968,14.895338006489464,COMPLETE
189,0.32154732510288064,2022-09-19 11:08:44.766797,2022-09-19 11:59:21.465239,0 days 00:50:36.698442,4.415512634306842,COMPLETE
190,0.32149794238683127,2022-09-19 11:11:10.944362,2022-09-19 12:01:23.627879,0 days 00:50:12.683517,4.448951332439948,COMPLETE
191,0.32080658436213993,2022-09-19 11:11:26.993517,2022-09-19 12:01:35.980248,0 days 00:50:08.986731,8.41142809298067,COMPLETE
192,0.32156378600823043,2022-09-19 11:25:33.181400,2022-09-19 12:16:11.292722,0 days 00:50:38.111322,4.406906603212159,COMPLETE
193,0.3214650205761317,2022-09-19 11:28:24.912882,2022-09-19 12:18:26.824181,0 days 00:50:01.911299,5.0037867481273635,COMPLETE
194,0.3214650205761317,2022-09-19 11:45:05.916973,2022-09-19 12:30:38.332914,0 days 00:45:32.415941,4.481806522546387,COMPLETE
195,0.32156378600823043,2022-09-19 11:51:21.004987,2022-09-19 12:35:04.346914,0 days 00:43:43.341927,4.407066501566454,COMPLETE
