Index,Criterion,Min_Samples_Leaf,Min_Samples_Split,N_Estimators,Loss
0,0,13,0.16287787636042028,134,0.7567078189300411
1,0,17,0.07745281264377357,56,0.6977283950617283
2,0,16,0.5866421844581096,178,0.9138106995884774
3,1,19,0.2943413978226477,64,0.8704855967078189
4,0,16,0.7400433086668968,130,0.9998024691358025
5,1,16,0.9097894305099719,190,0.9998024691358025
6,0,3,0.4530784049340426,140,0.8900411522633744
7,1,20,0.638397621125901,44,0.9998024691358025
8,1,12,0.012300542553135174,75,0.5937119341563786
9,0,16,0.08457607125311539,158,0.6641810699588477
10,1,15,0.5318904334616166,184,0.9261893004115226
11,0,13,0.19279438352592115,25,0.8648888888888889
12,1,18,0.8716889553449555,11,0.9998024691358025
13,1,6,0.6960857505015494,114,0.9998024691358025
14,1,20,0.8690403756646813,134,0.9998024691358025
15,0,6,0.18040835632706853,134,0.7730534979423869
16,1,7,0.4931252221282576,40,0.9401152263374486
17,1,6,0.1856704367155685,87,0.825283950617284
18,1,13,0.3345343888978567,75,0.8811851851851852
19,0,16,0.4468610111627048,166,0.8842469135802469
20,0,9,0.295159774260373,94,0.843045267489712
21,0,10,0.3354726695463094,113,0.8578271604938271
22,0,14,0.0024594623073843636,159,0.333119341563786
23,0,10,0.24606515793589057,97,0.8181069958847736
24,0,11,0.3741200245047716,114,0.8684115226337449
25,0,14,0.013776452278093248,198,0.46801646090534976
26,0,1,0.12589320338943177,104,0.7264197530864198
27,0,11,0.420206574626106,148,0.885119341563786
28,0,18,0.04317738905715407,196,0.576559670781893
29,0,1,0.15609997492808486,121,0.7510946502057614
30,0,8,0.4100333443511307,170,0.8740246913580247
31,1,18,0.9998020162831658,18,0.9998024691358025
32,1,18,0.8093846849117254,54,0.9998024691358025
33,1,19,0.9870400746036048,13,0.9998024691358025
34,1,18,0.9480348058403861,11,0.9998024691358025
35,1,17,0.810888686598775,25,0.9998024691358025
36,1,19,0.9905081760205628,24,0.9998024691358025
37,1,19,0.9198429521621011,35,0.9998024691358025
38,1,4,0.6250920880361701,55,0.9360658436213992
39,1,17,0.7404322351075339,66,0.9998024691358025
40,1,20,0.8096676976202543,30,0.9998024691358025
41,1,15,0.7218965776059718,23,0.9998024691358025
42,1,12,0.9269195441618546,41,0.9998024691358025
43,0,15,0.5633953657769917,55,0.9423045267489711
44,1,19,0.86425011808538,142,0.9998024691358025
45,1,20,0.6435958176266338,126,0.9998024691358025
46,1,14,0.9639881544065753,73,0.9998024691358025
47,1,17,0.8168986933387266,46,0.9998024691358025
48,0,13,0.06510009602330769,88,0.6606584362139918
49,0,4,0.4849970013257427,180,0.9074897119341564
50,0,6,0.2468086350847084,84,0.8285761316872429
51,0,2,0.6820846787625895,107,0.9998024691358025
52,0,9,0.5550572961048121,150,0.9190617283950617
53,0,12,0.540272984649955,50,0.9473909465020576
54,0,15,0.24456723953827766,62,0.8301399176954732
55,0,13,0.6090685222869393,63,0.9448395061728395
56,0,12,0.357886445982011,81,0.8743539094650206
57,0,16,0.11272245587447381,189,0.6916707818930041
58,0,9,0.28017145916500774,179,0.8203621399176955
59,0,4,0.4526398578325497,169,0.8843456790123456
60,0,11,0.3712337866935149,98,0.8695802469135803
