pattern,fqns
org.jpos,1
org.gk,1
org.mybatis,1
net.spy,1
org.virtualbox_4_2,1
org.ujmp,1
org.jooq,1
com.thetransactioncompany,1
com.codeminders,1
com.paypal,1
org.jvnet,1
org.openkinect,1
org.bushbank,1
char,1
org.xBaseJ,1
net.pms,1
org.csource,1
com.jamesmurty,1
com.sutherland,1
com.twitter,1
com.erebos,1
com.rs,1
com.naef,1
com.mashape,1
org.scilab,1
net.dtkanov,1
org.biojava,1
javassist.CtField,1
com.jpii,1
com.eleven,1
org.jogre,1
com.softsynth,1
org.luaj,1
com.nijiko,1
com.explodingpixels,1
org.evoting,1
org.tartarus,1
com.sparsity,1
org.openstreetmap,1
com.towel,1
org.poly2tri,1
com.gtech,1
org.exolab,1
com.wavemaker,1
org.kie,1
